5 5 2 15 11 22 12 13 6 24 9 10 12 20 6 15 9 6 15 21 28 9 15 9 9 5 
18 21 18 17 9 10 8 17 20 20 15 15 15 16 15 19 12 19 17 23 6 24 11 20 12 0 
8 18 3 23 22 18 18 21 14 24 17 25 18 20 16 12 20 16 30 13 3 11 14 12 13 2 
2 9 29 3 30 18 25 17 14 28 9 17 19 26 20 21 15 21 21 18 14 9 6 13 9 5 
2 9 20 9 12 8 36 18 18 21 26 5 17 16 17 21 15 26 27 29 20 19 20 25 8 3 
14 12 14 10 20 21 14 20 26 3 21 32 19 17 26 44 25 33 11 24 23 17 25 16 21 8 
9 15 11 21 24 31 18 33 26 23 23 13 21 11 41 36 34 3 30 19 31 20 27 20 15 12 
14 15 19 32 19 12 27 19 18 27 29 23 20 31 9 30 50 36 36 27 15 20 12 21 12 3 
15 23 18 39 28 37 15 20 21 35 15 19 21 51 26 14 9 30 28 24 17 21 17 12 9 0 
6 26 9 24 31 32 29 32 58 31 19 32 9 31 21 9 22 11 20 40 24 30 25 21 12 0 
33 12 19 25 15 15 38 33 20 17 41 37 33 22 21 31 30 23 35 20 29 18 17 33 12 3 
6 18 22 21 11 32 36 19 25 20 16 47 36 15 25 32 23 30 48 24 26 23 20 29 6 6 
15 18 33 26 27 29 30 23 24 17 20 26 27 21 14 34 18 32 32 16 20 19 6 41 15 8 
8 17 13 21 18 50 21 24 33 35 25 32 20 43 33 21 31 28 26 11 36 24 15 17 12 11 
15 18 29 8 28 39 21 24 38 41 32 19 30 21 18 58 36 29 9 19 6 24 23 17 6 6 
3 8 33 26 21 19 32 24 21 17 20 32 24 27 18 24 39 30 5 22 39 23 17 18 17 11 
20 17 29 14 33 8 49 33 32 30 34 30 18 40 23 14 26 36 49 16 30 27 33 18 10 6 
14 20 29 18 21 23 21 23 38 17 31 36 27 35 44 35 39 20 24 24 30 23 42 11 17 15 
6 16 25 26 29 18 23 30 21 24 30 26 40 21 30 50 30 29 32 29 32 11 17 21 17 0 
15 9 15 24 28 25 15 17 39 31 33 23 14 14 29 26 15 29 26 32 28 15 27 40 12 0 
11 9 12 20 12 34 21 6 23 14 13 29 21 30 23 14 11 28 12 24 31 15 8 26 6 2 
6 12 15 22 26 9 21 24 36 17 23 20 34 24 27 21 26 22 20 15 25 12 17 28 6 0 
3 3 9 15 17 20 12 18 30 18 17 29 22 23 13 11 22 24 15 20 21 21 19 15 9 0 
17 9 18 24 6 26 21 16 18 16 20 18 17 18 30 17 6 17 3 14 9 14 9 17 6 6 
11 8 24 3 20 24 18 32 15 9 8 12 13 14 12 23 12 23 20 3 18 7 12 6 14 0 
0 0 3 6 12 9 6 6 0 6 3 0 9 0 0 6 9 3 3 11 3 2 5 6 12 0 
