0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 3 3 0 0 2 3 3 0 0 8 3 5 0 0 3 0 6 0 3 3 0 5 3 0 2 6 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 6 3 0 3 0 3 5 0 6 3 3 9 6 11 0 6 3 3 3 0 5 9 3 0 5 0 9 2 6 0 2 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 3 3 0 3 3 0 0 6 2 0 2 0 0 3 3 6 0 0 6 14 12 0 9 6 6 3 3 0 8 3 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 6 0 0 0 3 5 3 8 6 9 6 0 6 0 0 3 6 3 3 2 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 5 3 0 3 9 6 6 6 0 0 0 6 5 0 6 3 8 0 3 6 5 6 3 3 3 5 4 3 3 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 3 0 3 3 0 6 3 6 2 9 6 6 3 6 0 6 8 8 3 0 3 0 8 0 5 3 0 5 0 0 3 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 3 0 3 3 3 0 3 4 6 3 0 9 3 11 6 3 9 6 3 8 3 11 3 9 12 6 3 0 9 0 4 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 9 0 0 2 6 3 3 12 9 3 6 0 8 8 3 6 3 0 6 8 0 3 0 11 6 0 17 3 2 5 6 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 3 6 12 3 0 0 6 3 6 12 3 3 3 12 3 6 9 6 0 0 3 6 2 3 3 6 3 8 3 9 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 3 6 0 5 3 6 2 5 15 0 8 0 9 3 9 3 8 3 11 6 0 4 3 0 12 3 3 20 0 12 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 3 6 0 0 6 3 6 3 12 8 6 6 6 0 2 0 5 6 3 6 8 0 8 5 0 11 0 3 10 6 6 6 0 9 0 0 2 6 5 0 6 3 0 0 0 0 3 0 0 
6 0 2 3 0 0 5 0 9 3 9 3 3 6 6 12 3 5 8 9 9 2 0 6 6 5 0 8 3 8 6 3 0 10 6 6 3 5 2 0 0 12 3 8 9 6 0 5 0 0 3 0 
0 0 3 3 3 15 9 0 0 3 9 0 0 3 6 6 11 6 12 19 0 3 12 2 0 6 6 3 3 5 3 6 3 3 3 8 3 6 12 2 3 3 3 3 3 0 0 6 0 0 3 0 
0 3 9 0 3 3 5 3 12 3 0 6 8 3 3 3 9 0 3 6 3 6 9 0 3 6 12 3 0 3 9 0 3 2 6 17 0 3 3 6 3 0 9 0 0 3 3 6 3 3 0 0 
2 0 0 3 3 9 3 0 15 7 3 12 6 3 0 18 6 12 6 8 6 10 6 3 3 9 6 9 9 3 3 2 0 6 2 6 9 6 3 6 0 3 12 3 3 0 0 6 0 3 3 0 
0 2 12 6 0 0 9 6 6 8 8 9 2 9 0 6 0 2 3 15 3 6 3 2 12 12 14 5 11 11 3 6 6 6 9 8 2 2 6 3 6 8 3 15 5 0 9 0 0 3 0 0 
5 0 0 6 3 3 3 0 0 6 3 6 6 3 3 5 6 0 3 6 3 2 6 9 3 11 3 3 3 6 9 7 3 15 6 3 6 9 3 12 9 3 3 3 2 5 3 9 2 3 0 0 
5 2 6 0 6 6 2 3 12 3 3 6 9 7 15 9 6 3 12 6 6 9 9 0 6 6 6 9 3 3 3 9 3 0 12 6 6 6 6 3 5 11 15 6 8 3 3 6 0 6 8 0 
0 8 0 3 14 5 3 0 9 6 12 9 3 17 0 3 3 6 3 15 9 12 0 3 9 3 5 3 0 3 5 0 6 3 6 12 3 15 6 12 0 0 0 12 3 0 0 6 3 3 0 0 
3 0 0 6 6 5 15 0 5 3 0 6 9 5 6 3 9 15 3 5 6 8 3 6 3 3 0 0 11 5 9 3 6 9 3 3 17 3 7 0 15 0 12 5 0 3 3 0 3 3 3 0 
0 3 6 0 6 6 6 9 9 3 15 6 6 0 3 9 0 0 11 9 12 9 9 3 2 12 18 0 16 15 8 6 3 6 9 6 9 5 0 6 3 6 3 3 15 9 6 3 3 3 6 0 
6 3 6 0 5 0 0 6 10 0 9 3 3 11 9 3 5 3 6 12 9 6 5 6 15 8 9 2 6 8 14 5 3 3 0 3 0 6 6 6 0 0 8 9 3 2 9 0 3 0 3 0 
0 0 3 6 8 2 9 6 3 6 0 6 3 3 6 3 6 2 6 3 3 3 6 3 8 14 2 3 3 6 12 15 11 6 9 8 9 8 6 11 6 9 3 9 0 4 3 5 0 5 0 0 
0 6 3 6 6 0 7 6 14 8 6 0 6 2 3 0 9 0 5 12 9 12 6 9 6 9 11 3 5 8 3 6 6 2 8 6 0 8 9 6 6 0 6 0 3 0 3 6 0 9 0 0 
3 0 6 3 3 6 0 9 0 8 6 5 9 9 8 3 8 9 3 3 12 2 11 11 3 5 6 5 5 9 2 6 3 0 0 0 6 0 3 5 3 15 8 9 9 0 0 0 6 0 0 0 
3 0 0 3 0 6 3 2 0 6 12 2 6 3 8 20 14 3 5 8 0 3 3 9 6 3 11 0 17 10 8 6 6 14 0 9 0 12 11 3 15 12 6 6 3 3 6 0 3 3 9 0 
3 3 0 6 9 0 3 3 6 0 5 6 6 0 3 12 6 6 6 6 12 9 18 14 9 6 3 6 6 0 2 6 12 6 15 9 5 15 6 3 3 6 11 9 3 3 6 9 3 3 6 0 
0 3 3 5 6 0 0 9 2 3 8 12 3 6 3 6 6 9 0 9 0 9 3 14 6 17 5 3 9 2 8 6 3 12 12 3 18 3 6 8 8 3 11 7 0 0 8 0 0 0 0 0 
3 6 5 9 0 6 3 14 6 9 6 12 12 9 12 17 3 11 15 3 9 3 3 3 15 6 8 3 8 3 3 9 3 5 6 6 0 5 9 3 6 0 3 3 3 6 0 6 0 6 6 0 
