0 0 0 0 0 0 0 0 15 0 9 15 14 9 11 6 12 9 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 8 24 2 21 15 6 14 27 25 3 3 0 0 0 0 0 0 0 0 
0 0 0 6 0 6 5 0 19 12 6 16 15 12 17 8 17 12 9 2 6 2 6 0 0 0 
0 0 6 20 10 17 11 27 14 12 20 22 3 12 19 11 5 21 14 18 13 5 9 0 0 0 
0 0 3 19 9 21 21 15 21 26 32 21 14 13 27 30 10 9 14 20 23 15 15 0 0 0 
0 0 0 22 24 24 13 17 19 15 36 17 26 23 18 30 19 29 21 28 15 18 6 0 0 0 
0 0 0 11 17 21 7 27 15 27 28 33 24 27 15 9 18 20 27 18 17 5 5 0 0 0 
9 0 6 23 14 26 14 36 15 25 20 21 6 27 27 25 31 17 29 23 24 16 18 0 3 0 
12 12 9 21 15 14 17 17 29 35 23 12 38 27 18 12 31 33 23 32 8 15 9 24 21 3 
3 17 23 41 18 24 27 39 33 22 32 25 18 20 20 29 8 25 20 12 39 18 18 18 17 0 
12 12 32 27 15 19 27 20 25 28 3 14 24 31 38 18 25 25 35 6 38 20 9 23 27 3 
12 20 13 20 15 29 16 38 32 44 12 38 31 8 40 23 14 14 36 29 28 18 24 21 18 6 
3 9 14 16 17 15 31 23 43 24 30 28 29 15 26 22 29 28 14 27 18 17 9 20 18 6 
9 12 18 14 15 35 8 9 50 24 25 12 23 20 30 37 26 27 29 15 26 35 20 6 6 6 
9 23 18 22 16 19 30 27 25 17 33 30 27 23 29 32 23 9 12 20 11 19 27 12 16 8 
18 15 11 15 20 22 12 27 26 17 18 36 43 35 24 28 14 20 27 32 23 11 24 9 9 0 
11 9 21 32 20 11 17 18 20 33 21 28 28 17 32 6 17 23 24 30 22 17 21 18 6 5 
11 9 12 15 13 20 12 29 36 11 21 36 20 26 27 29 24 35 15 20 23 18 21 9 6 3 
0 0 6 20 18 30 12 21 21 41 35 24 15 32 25 42 33 42 13 23 9 11 12 0 0 0 
0 0 0 12 23 19 9 30 30 33 24 15 20 23 30 9 29 30 45 20 15 28 10 0 0 0 
0 0 3 21 18 9 8 21 23 27 11 24 25 15 25 23 23 14 3 14 11 19 12 0 0 0 
0 0 3 15 11 13 15 12 12 26 18 18 30 18 35 12 23 22 12 18 24 17 11 0 0 0 
0 0 2 3 15 18 23 14 11 15 18 27 19 10 17 9 21 9 12 9 8 9 12 0 0 0 
0 0 0 0 0 0 0 3 15 21 17 11 27 14 6 18 21 18 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 5 9 12 14 11 18 10 9 3 12 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 3 5 6 3 0 3 8 6 3 0 0 0 0 0 0 0 0 0 
