0 0 6 0 6 0 0 0 3 0 3 2 0 3 3 3 3 0 3 3 327 335 288 273 262 339 261 336 286 299 249 277 296 250 239 198 170 217 158 167 
3 0 0 2 0 3 0 0 3 0 0 9 0 6 0 3 3 0 0 0 343 377 366 415 425 312 291 391 334 422 397 327 345 291 326 256 241 241 170 188 
3 0 0 8 0 0 3 3 0 0 3 6 3 5 9 0 0 0 3 9 326 409 458 445 403 395 422 439 459 432 429 360 329 356 310 284 290 182 205 176 
0 3 0 0 3 9 6 0 0 6 6 0 3 9 3 0 0 3 0 3 437 498 423 523 505 490 433 454 430 431 425 409 400 487 389 325 289 343 246 214 
3 3 3 3 0 6 0 0 6 0 0 6 3 3 0 3 6 3 0 6 456 432 428 465 523 523 493 450 450 469 438 398 380 406 339 358 378 364 290 290 
3 0 0 5 3 0 0 0 6 6 3 3 3 3 9 0 3 2 12 0 497 505 442 431 452 558 533 538 469 558 562 396 476 354 400 477 455 408 360 227 
3 0 3 0 3 0 0 0 3 3 6 3 9 0 0 0 0 0 0 6 477 442 491 562 530 492 565 484 487 521 407 465 431 382 482 424 349 468 273 226 
0 3 3 0 0 0 9 3 6 6 0 0 3 6 3 2 12 6 3 6 487 526 531 570 548 561 511 557 545 498 576 455 553 538 496 426 383 334 311 245 
0 0 0 0 6 0 0 3 0 3 6 0 0 0 2 3 3 3 3 6 539 607 443 467 677 532 566 581 606 529 494 487 450 520 487 413 363 367 344 252 
3 3 0 0 0 3 9 0 13 0 9 8 3 0 0 3 3 3 3 8 391 557 447 455 567 530 530 613 579 561 500 537 495 499 495 405 382 416 219 276 
0 0 0 0 3 0 0 0 0 6 3 6 12 8 6 6 3 7 0 8 460 475 495 514 492 489 605 509 660 541 564 497 554 435 467 380 447 378 365 354 
0 0 3 6 6 3 3 0 3 0 3 2 0 3 0 3 0 0 0 6 520 465 465 477 595 567 556 551 606 574 514 523 537 571 520 412 409 378 331 335 
3 6 0 3 0 0 3 6 9 6 3 6 6 0 0 0 0 6 8 3 511 491 545 530 504 496 510 529 598 505 614 605 500 553 534 531 504 338 307 345 
10 0 0 0 3 0 0 0 6 0 3 6 0 2 0 6 8 0 3 0 406 441 491 618 523 569 555 598 705 677 521 581 576 573 588 457 416 451 324 296 
0 0 3 0 3 0 3 5 6 6 3 0 5 8 9 0 6 0 0 0 458 395 509 553 456 575 417 549 611 616 591 511 523 386 531 463 491 415 373 279 
8 0 0 3 3 3 8 3 3 3 0 3 3 0 5 0 9 0 2 3 474 499 445 520 537 536 543 567 509 545 504 500 464 460 501 474 391 405 457 339 
0 0 0 0 0 0 3 3 2 3 2 0 3 3 0 3 0 3 0 3 542 455 492 485 523 539 546 544 544 504 561 454 500 395 376 351 404 363 311 218 
3 0 0 6 3 3 0 9 0 0 0 0 9 0 9 0 3 3 6 9 429 517 443 446 498 653 484 520 587 451 493 529 528 389 405 423 450 404 399 357 
3 3 0 0 3 3 3 0 3 3 3 3 6 0 0 0 3 0 3 0 396 493 416 511 514 626 552 523 536 524 461 492 485 453 523 400 421 420 309 283 
0 0 0 3 0 0 6 0 6 12 0 3 3 0 0 9 9 3 5 5 591 540 491 583 583 609 614 555 617 667 623 545 661 550 507 518 483 397 286 198 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 4 3 6 2 2 6 3 1 8 3 3 1 2 3 1 4 0 6 
