3 0 0 0 0 3 0 0 0 6 6 5 3 6 0 6 0 6 6 0 3 0 0 0 6 3 0 3 3 2 0 6 0 0 3 3 3 0 6 3 0 3 0 6 6 3 0 3 0 3 6 0 
3 3 3 0 9 0 0 3 3 0 6 11 8 3 0 9 9 0 3 0 3 0 0 6 0 0 3 3 8 9 0 3 3 0 6 3 0 9 6 6 0 6 3 0 0 3 0 0 3 3 3 3 
0 3 0 3 6 3 3 0 0 3 0 8 3 0 3 11 0 3 0 0 3 0 6 3 2 0 0 6 3 0 0 3 9 0 3 6 8 9 3 0 6 3 3 0 0 3 6 0 0 0 0 0 
6 6 0 6 3 3 12 3 3 9 6 3 0 2 6 12 0 3 0 3 3 3 3 0 3 3 12 3 3 2 12 3 3 3 0 3 12 10 3 0 14 3 2 5 6 6 0 3 0 5 5 0 
2 0 0 3 3 6 9 0 6 6 12 3 6 6 0 11 9 10 9 13 12 9 12 3 0 3 0 9 9 0 0 3 5 6 3 0 0 3 9 3 3 9 9 3 0 3 0 6 0 3 3 0 
0 3 3 9 6 9 3 6 3 3 2 6 6 5 5 3 0 0 3 3 2 3 3 6 6 3 3 12 3 0 6 9 6 6 9 15 0 3 3 3 2 3 12 3 6 9 0 3 0 0 0 0 
3 3 3 3 12 0 3 2 14 0 6 6 3 12 3 9 3 0 3 6 3 9 0 5 5 0 6 5 3 3 3 3 14 9 6 0 0 8 12 6 6 3 0 3 9 3 3 0 0 3 0 0 
3 3 5 0 0 0 6 6 6 6 6 8 3 12 9 5 6 3 8 3 3 3 5 11 6 6 0 6 2 3 6 6 3 11 6 3 3 3 3 3 6 0 6 6 3 3 0 11 0 0 3 0 
5 6 0 6 3 3 6 9 3 0 9 14 9 12 11 8 5 9 11 6 0 0 5 15 11 0 9 6 6 9 3 9 6 0 0 9 12 6 3 3 9 3 0 5 18 5 0 3 6 0 2 0 
3 3 8 9 0 0 3 3 3 3 7 6 3 6 0 6 0 5 3 9 3 8 14 0 3 9 3 3 6 12 3 5 12 0 0 6 6 9 3 8 8 3 6 6 3 0 8 0 3 3 0 0 
3 3 9 3 0 12 6 9 3 0 0 6 6 0 0 9 0 0 5 3 10 3 0 6 3 3 6 3 3 3 6 10 12 18 2 0 6 5 6 6 0 3 3 3 3 3 9 3 3 0 3 3 
3 3 5 0 0 12 8 0 9 0 8 9 6 3 6 12 0 9 6 6 9 3 6 0 3 5 3 9 9 11 6 6 3 0 3 6 0 9 21 0 0 0 6 9 5 9 0 3 5 11 0 3 
6 0 8 6 6 0 5 9 3 2 9 2 15 3 14 11 0 3 11 11 3 8 5 0 6 3 0 2 9 0 6 6 12 3 6 15 9 6 0 3 5 9 6 6 6 3 3 6 3 3 0 0 
3 4 0 0 3 2 10 0 12 3 2 3 6 3 0 9 8 8 9 6 6 17 3 3 6 3 9 8 8 3 6 9 0 6 11 5 6 14 6 9 3 3 12 11 6 6 3 3 5 0 6 0 
0 0 3 3 2 5 0 5 5 9 6 11 11 6 15 13 12 0 3 5 3 2 12 3 6 6 3 3 3 6 21 9 0 9 15 3 8 5 11 3 6 6 15 3 3 12 6 0 6 6 0 0 
0 3 6 6 4 5 15 8 0 6 3 6 3 6 3 0 3 6 3 6 12 6 12 0 6 12 12 3 9 12 9 3 6 9 6 12 8 12 5 5 5 9 6 12 3 13 3 6 9 0 0 0 
0 6 6 6 11 3 3 8 0 2 5 0 4 3 5 12 9 8 3 3 6 15 12 3 14 12 9 14 8 8 6 21 5 14 3 6 6 12 12 11 9 12 3 0 6 3 0 6 3 3 0 0 
6 0 3 6 3 3 0 3 5 9 3 11 2 12 3 5 3 0 3 3 7 6 6 0 6 3 12 9 3 6 0 15 12 8 0 6 9 5 0 5 9 9 6 3 3 3 6 2 6 9 0 0 
3 3 0 12 0 0 8 6 8 5 3 3 11 5 5 8 15 12 12 15 11 6 9 9 15 3 9 2 15 9 3 6 3 6 6 6 9 3 9 11 3 9 3 3 6 2 0 9 0 3 0 0 
0 11 6 9 6 15 3 0 15 6 6 5 9 6 6 3 6 3 6 14 0 3 5 6 5 9 6 9 3 0 8 12 0 9 5 9 3 0 4 5 3 11 3 6 6 3 9 9 2 5 3 0 
0 0 9 5 0 6 9 15 8 0 0 11 3 3 0 13 5 11 9 6 3 3 12 0 3 3 3 8 8 12 6 12 14 9 6 6 3 3 5 20 3 11 3 0 2 6 0 6 3 3 3 0 
0 7 3 3 6 0 6 3 2 6 9 3 9 6 9 9 3 7 8 0 9 6 5 6 6 6 8 11 3 3 18 12 6 0 0 9 12 5 12 3 6 0 12 3 3 9 2 3 6 9 2 0 
0 3 9 9 6 3 6 9 0 3 12 5 0 0 9 0 11 6 9 21 3 9 6 9 3 9 9 3 8 9 0 11 12 6 3 7 6 12 5 6 3 6 5 0 11 3 0 6 6 5 7 3 
2 3 3 0 0 6 12 6 3 0 5 3 12 6 0 9 9 5 3 6 3 6 3 14 6 9 6 0 4 11 6 0 3 8 3 6 0 3 9 0 11 3 10 6 3 12 0 0 2 3 3 2 
11 0 0 3 6 3 15 2 0 6 2 2 5 0 6 9 9 3 3 6 3 3 6 15 6 3 3 0 12 3 6 16 0 12 11 0 2 18 6 6 3 8 9 3 2 0 12 6 0 3 0 0 
3 0 0 9 6 9 8 9 9 3 5 0 6 3 6 0 5 8 0 14 9 3 0 6 11 6 3 3 9 10 6 15 6 6 14 12 0 9 6 9 6 9 0 6 6 0 0 6 3 3 3 0 
0 2 0 3 3 9 3 9 6 3 0 9 8 11 9 14 9 3 12 6 6 3 0 3 6 9 13 3 8 3 6 8 0 8 3 0 3 6 5 6 17 18 9 2 6 6 6 6 0 6 6 0 
3 3 6 0 8 8 14 6 6 8 15 6 3 9 6 2 6 3 15 3 9 6 6 0 11 20 3 8 14 0 5 18 6 6 6 9 18 14 3 3 2 10 3 3 3 3 2 3 9 6 3 0 
0 3 0 6 14 6 12 6 12 3 3 17 3 9 16 9 6 0 6 8 3 8 0 9 2 9 9 9 6 0 8 14 3 3 6 6 12 11 17 6 2 3 6 2 9 16 0 7 3 3 5 0 
0 0 5 3 0 0 6 6 0 6 12 6 3 6 2 9 6 15 6 6 0 18 11 8 0 11 6 12 9 20 9 9 0 0 6 6 5 12 9 10 5 3 9 9 0 3 3 0 2 0 5 0 
0 3 0 0 6 12 9 18 6 6 3 0 9 6 6 3 3 12 6 12 0 11 6 5 12 12 12 6 18 3 3 15 6 3 2 6 12 0 12 0 12 0 6 0 6 0 6 0 0 0 0 0 
0 0 9 5 3 6 0 3 3 5 6 3 3 0 8 0 9 3 3 6 13 9 6 12 0 14 9 6 3 6 11 3 3 0 9 3 0 6 9 17 3 3 3 9 0 6 15 3 5 9 0 3 
2 3 0 0 0 3 0 6 0 6 15 3 9 12 15 8 6 6 0 15 9 12 6 2 3 9 3 6 12 3 6 15 17 5 3 6 5 8 6 0 0 9 21 0 6 6 8 9 0 3 0 0 
0 6 9 3 6 0 8 5 0 3 3 6 2 6 11 12 3 6 0 11 0 6 9 14 9 6 3 2 3 6 9 15 9 15 3 5 12 14 16 6 2 3 5 3 6 12 3 0 0 3 3 0 
0 0 3 3 0 6 5 12 24 5 3 15 9 0 3 6 0 9 11 0 5 6 14 2 8 6 3 15 16 9 6 3 6 15 6 9 0 3 2 3 12 6 6 3 3 5 3 8 6 0 2 0 
6 3 0 3 3 4 15 0 3 3 0 7 3 8 0 2 12 3 9 12 17 5 6 6 3 9 16 5 6 6 12 5 0 3 5 5 14 6 0 9 6 0 6 3 6 3 3 5 0 0 3 0 
6 3 0 0 6 6 6 6 3 3 12 3 0 6 0 6 12 6 12 2 9 6 6 3 15 9 12 3 6 9 0 0 6 9 8 8 9 9 6 8 3 3 8 3 6 9 2 6 3 12 0 0 
0 9 6 3 0 3 3 3 12 3 5 3 6 3 9 3 9 5 6 14 7 15 3 17 6 6 12 9 9 14 6 17 8 9 6 9 3 0 11 5 11 6 3 0 4 3 0 6 0 3 3 0 
