0 0 0 0 0 0 0 0 5 18 9 3 0 20 15 12 12 6 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 15 12 21 23 24 15 33 16 11 6 2 4 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 6 11 7 9 24 16 17 3 6 12 18 3 0 0 0 0 0 0 0 
0 0 0 0 3 6 0 15 29 24 22 22 20 15 11 21 20 12 9 5 12 6 0 0 0 0 
0 0 0 3 7 17 8 12 21 14 12 15 9 12 28 9 13 15 26 18 3 18 0 0 0 0 
0 0 0 3 14 15 21 9 18 23 20 9 17 14 12 6 18 15 33 48 21 11 0 0 0 0 
0 0 0 5 8 26 6 33 30 17 0 24 11 33 17 15 23 23 11 14 11 6 0 0 0 0 
2 12 9 16 11 21 24 23 18 20 23 14 36 23 35 23 18 17 30 9 12 21 21 17 2 6 
6 24 12 11 12 11 18 15 34 35 27 27 27 18 23 20 28 24 14 21 22 9 8 26 3 3 
0 18 14 9 12 21 29 26 27 17 33 17 24 32 26 17 26 33 14 33 15 24 18 23 11 0 
12 8 23 24 33 14 14 10 21 22 21 23 31 34 47 29 9 41 20 32 11 18 14 3 24 3 
7 17 12 16 15 24 28 15 42 11 14 26 29 26 31 19 26 25 34 26 19 17 9 3 9 15 
12 20 18 15 18 21 24 24 26 27 27 13 43 18 32 40 21 23 27 14 24 15 9 18 15 12 
3 18 24 17 21 23 36 27 6 16 30 18 39 27 22 31 50 30 15 30 26 21 9 20 18 9 
12 15 33 14 24 15 18 21 12 32 21 42 26 44 23 37 37 30 30 26 19 33 23 8 9 8 
0 20 17 15 15 29 18 24 21 23 21 29 32 34 10 44 26 23 23 36 29 24 23 18 14 3 
12 9 17 9 24 24 21 26 21 18 33 30 30 47 32 28 41 27 9 22 36 12 18 12 12 6 
17 11 20 9 29 18 8 23 32 9 21 37 16 12 26 50 21 21 20 32 18 0 6 6 14 0 
3 6 0 6 8 20 18 18 26 21 18 25 28 20 22 25 21 30 18 34 14 11 2 0 3 5 
0 0 0 0 26 9 18 21 18 28 29 31 23 9 28 23 9 29 14 12 18 6 0 0 0 0 
0 0 0 0 10 7 6 26 21 17 14 14 21 24 29 18 14 24 18 17 10 11 0 0 0 0 
0 0 0 0 5 12 23 15 23 21 20 11 12 26 6 27 20 17 8 11 12 6 0 0 0 0 
0 0 0 0 0 0 0 8 16 8 6 9 8 31 6 34 11 21 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 9 12 13 24 6 26 5 0 16 6 9 3 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 12 9 12 9 18 12 18 9 12 5 9 3 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 3 3 9 0 3 11 12 5 6 3 6 0 0 0 0 0 0 0 0 
