3 0 0 0 0 3 0 0 0 6 6 5 3 6 0 6 0 6 6 0 3 0 0 0 6 3 454 533 432 434 480 454 452 434 477 434 401 437 426 385 426 477 321 348 387 304 297 316 231 248 217 16 
3 3 3 0 9 0 0 3 3 0 6 11 8 3 0 9 9 0 3 0 3 0 0 6 0 0 471 534 565 535 543 620 515 483 580 602 574 534 519 505 528 509 445 473 385 353 422 366 420 267 248 21 
0 3 0 3 6 3 3 0 0 3 0 8 3 0 3 11 0 3 0 0 3 0 6 3 2 0 607 651 638 607 625 634 628 603 697 586 614 451 572 536 588 549 596 546 385 407 481 448 410 341 242 22 
6 6 0 6 3 3 12 3 3 9 6 3 0 2 6 12 0 3 0 3 3 3 3 0 3 3 649 579 694 660 616 665 620 700 557 782 670 711 642 569 609 642 572 548 557 641 496 462 421 361 318 24 
2 0 0 3 3 6 9 0 6 6 12 3 6 6 0 11 9 10 9 13 12 9 12 3 0 3 762 803 572 671 700 671 782 773 738 793 727 769 732 627 684 663 591 562 566 466 457 520 479 478 297 43 
0 3 3 9 6 9 3 6 3 3 2 6 6 5 5 3 0 0 3 3 2 3 3 6 6 3 746 762 702 691 791 756 835 789 761 743 644 773 741 696 714 649 754 654 614 587 500 533 456 403 369 14 
3 3 3 3 12 0 3 2 14 0 6 6 3 12 3 9 3 0 3 6 3 9 0 5 5 0 693 857 900 903 714 659 777 719 706 856 846 830 737 788 756 787 678 641 622 671 558 592 396 352 349 29 
3 3 5 0 0 0 6 6 6 6 6 8 3 12 9 5 6 3 8 3 3 3 5 11 6 6 675 788 847 836 779 761 838 867 854 920 935 863 811 907 758 749 684 687 805 699 592 504 568 427 406 38 
5 6 0 6 3 3 6 9 3 0 9 14 9 12 11 8 5 9 11 6 0 0 5 15 11 0 859 803 821 931 872 972 824 891 828 865 1096 906 878 878 771 891 757 663 806 608 646 521 567 434 427 33 
3 3 8 9 0 0 3 3 3 3 7 6 3 6 0 6 0 5 3 9 3 8 14 0 3 9 929 823 924 795 1072 893 877 870 920 943 905 927 865 837 791 779 869 820 807 629 619 555 485 555 418 15 
3 3 9 3 0 12 6 9 3 0 0 6 6 0 0 9 0 0 5 3 10 3 0 6 3 3 912 893 906 900 910 916 979 898 875 891 929 905 737 904 784 921 827 727 702 621 626 589 569 501 396 27 
3 3 5 0 0 12 8 0 9 0 8 9 6 3 6 12 0 9 6 6 9 3 6 0 3 5 950 872 960 1016 956 898 990 936 919 901 937 943 987 950 912 921 909 760 773 774 636 532 588 546 444 29 
6 0 8 6 6 0 5 9 3 2 9 2 15 3 14 11 0 3 11 11 3 8 5 0 6 3 895 970 849 1023 906 947 1068 962 997 1017 1017 968 832 753 971 857 867 799 708 686 652 564 546 411 416 21 
3 4 0 0 3 2 10 0 12 3 2 3 6 3 0 9 8 8 9 6 6 17 3 3 6 3 988 934 1008 1060 948 1118 953 907 1014 1002 870 875 1024 867 876 731 853 762 716 713 680 553 486 472 456 49 
0 0 3 3 2 5 0 5 5 9 6 11 11 6 15 13 12 0 3 5 3 2 12 3 6 6 952 1087 999 979 1076 1053 1053 1018 1071 1058 1117 1016 1038 925 843 822 855 700 629 762 722 709 540 456 357 43 
0 3 6 6 4 5 15 8 0 6 3 6 3 6 3 0 3 6 3 6 12 6 12 0 6 12 971 932 980 925 996 1006 1035 985 987 887 1058 1086 961 918 971 821 801 739 732 741 614 636 556 530 414 53 
0 6 6 6 11 3 3 8 0 2 5 0 4 3 5 12 9 8 3 3 6 15 12 3 14 12 1191 1065 991 1080 947 1083 968 1083 1014 992 1113 1037 937 877 925 930 843 807 861 723 660 583 575 598 464 19 
6 0 3 6 3 3 0 3 5 9 3 11 2 12 3 5 3 0 3 3 7 6 6 0 6 3 1127 1084 960 1025 978 1081 1032 1035 905 926 937 1085 1045 1059 860 815 887 865 763 675 705 577 619 473 409 21 
