0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 3 3 0 0 2 3 3 0 0 8 3 409 481 383 384 367 433 368 405 433 415 346 404 325 218 247 4 2 4 3 1 4 4 4 1 5 0 
0 0 0 0 0 0 0 0 0 0 6 3 0 3 0 3 5 0 6 3 3 9 6 11 0 6 569 484 513 528 538 537 513 422 481 461 528 339 421 382 297 4 3 8 2 5 6 1 2 3 5 0 
0 0 0 0 0 0 0 0 0 0 0 3 3 0 3 3 0 0 6 2 0 2 0 0 3 3 533 529 607 521 598 534 633 513 630 602 489 455 376 399 328 3 6 1 3 7 8 6 2 3 5 0 
0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 6 0 0 0 3 5 3 8 6 9 6 533 512 566 534 561 511 609 646 554 579 485 505 390 356 303 3 3 4 9 7 3 3 9 3 3 0 
0 0 0 0 0 0 0 0 0 0 0 5 3 0 3 9 6 6 6 0 0 0 6 5 0 6 650 722 590 642 699 701 719 678 690 554 642 568 567 432 332 6 3 2 4 5 3 3 3 4 5 0 
0 0 0 0 0 0 0 0 0 0 3 0 3 3 0 6 3 6 2 9 6 6 3 6 0 6 752 675 619 615 709 648 722 742 667 733 638 619 588 535 378 2 5 4 7 3 5 3 2 1 6 0 
0 0 0 0 0 0 0 0 0 0 3 0 3 3 3 0 3 4 6 3 0 9 3 11 6 3 653 684 696 699 697 607 704 716 706 703 735 618 542 461 401 5 3 2 3 8 3 6 3 3 4 1 
0 0 0 0 0 0 0 0 0 0 9 0 0 2 6 3 3 12 9 3 6 0 8 8 3 6 675 727 741 835 734 751 724 722 731 777 870 685 665 633 441 5 1 4 8 0 2 2 5 4 10 0 
0 0 0 0 0 0 0 0 0 0 3 6 12 3 0 0 6 3 6 12 3 3 3 12 3 6 699 843 782 833 872 821 770 774 786 823 815 799 783 645 441 4 3 4 6 5 3 2 5 2 10 2 
0 0 0 0 0 0 0 0 0 0 3 6 0 5 3 6 2 5 15 0 8 0 9 3 9 3 851 851 801 843 854 866 811 657 872 759 818 769 718 678 454 7 1 4 6 2 2 4 2 7 3 0 
0 0 0 3 6 0 0 6 3 6 3 12 8 6 6 6 0 2 0 5 6 3 6 8 0 8 787 773 938 797 917 870 890 807 839 745 876 744 797 631 572 398 417 383 307 290 315 232 280 280 188 9 
6 0 2 3 0 0 5 0 9 3 9 3 3 6 6 12 3 5 8 9 9 2 0 6 6 5 721 1036 777 898 879 927 866 786 857 858 820 771 726 688 688 702 617 472 487 558 470 343 369 375 291 24 
0 0 3 3 3 15 9 0 0 3 9 0 0 3 6 6 11 6 12 19 0 3 12 2 0 6 838 868 854 890 978 932 858 886 813 966 949 823 757 688 743 617 631 533 500 494 495 457 403 314 345 26 
0 3 9 0 3 3 5 3 12 3 0 6 8 3 3 3 9 0 3 6 3 6 9 0 3 6 901 883 919 990 926 951 847 912 1025 913 806 838 832 716 715 696 679 644 614 522 516 461 420 323 321 27 
2 0 0 3 3 9 3 0 15 7 3 12 6 3 0 18 6 12 6 8 6 10 6 3 3 9 893 930 812 969 1017 880 938 1038 1031 929 1074 865 962 712 760 694 789 650 552 606 566 464 565 422 364 39 
0 2 12 6 0 0 9 6 6 8 8 9 2 9 0 6 0 2 3 15 3 6 3 2 12 12 985 958 890 827 993 894 1003 949 879 921 943 872 919 904 753 699 696 703 698 535 598 534 480 480 384 35 
5 0 0 6 3 3 3 0 0 6 3 6 6 3 3 5 6 0 3 6 3 2 6 9 3 11 1082 989 930 1019 989 1044 854 1048 920 959 826 901 899 843 805 815 774 729 756 686 588 497 413 531 398 26 
5 2 6 0 6 6 2 3 12 3 3 6 9 7 15 9 6 3 12 6 6 9 9 0 6 6 1002 949 872 1013 1017 973 1060 910 967 999 880 974 846 944 721 728 835 705 736 627 622 556 486 365 449 27 
0 8 0 3 14 5 3 0 9 6 12 9 3 17 0 3 3 6 3 15 9 12 0 3 9 3 991 1049 797 856 1075 986 1071 1006 1095 896 949 1040 933 902 846 802 748 644 665 700 563 588 581 484 433 29 
3 0 0 6 6 5 15 0 5 3 0 6 9 5 6 3 9 15 3 5 6 8 3 6 3 3 932 1037 1066 927 1072 1093 976 943 895 1100 864 905 852 894 856 777 706 827 656 808 672 661 493 483 391 7 
0 3 6 0 6 6 6 9 9 3 15 6 6 0 3 9 0 0 11 9 12 9 9 3 2 12 1118 1061 971 968 1080 1009 961 922 940 852 1044 965 905 861 933 778 787 881 860 705 707 671 514 504 453 35 
6 3 6 0 5 0 0 6 10 0 9 3 3 11 9 3 5 3 6 12 9 6 5 6 15 8 1131 1056 978 850 1039 1091 930 958 923 910 1068 992 863 954 968 751 784 821 725 682 727 563 701 490 425 12 
0 0 3 6 8 2 9 6 3 6 0 6 3 3 6 3 6 2 6 3 3 3 6 3 8 14 1034 1163 1067 975 1007 1056 1055 1040 1037 980 930 1100 892 871 887 859 839 785 806 787 643 600 466 533 390 9 
0 6 3 6 6 0 7 6 14 8 6 0 6 2 3 0 9 0 5 12 9 12 6 9 6 9 1053 1058 1055 1052 882 1069 1004 1087 935 1011 963 950 851 918 834 872 988 823 814 672 615 638 594 505 477 24 
3 0 6 3 3 6 0 9 0 8 6 5 9 9 8 3 8 9 3 3 12 2 11 11 3 5 1103 999 973 1174 1076 1039 944 970 914 986 1000 1062 889 823 956 891 826 826 874 699 650 596 565 534 460 36 
