Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1500.0 ; 1.771947E-5
1750.0 ; 1.665365E-5
2000.0 ; 1.577129E-5
2181.015 ; 1.535594E-5
2187.5 ; 1.534231E-5
2205.079 ; 1.530612E-5
2222.657 ; 1.526994E-5
2257.813 ; 1.519757E-5
2328.125 ; 1.505284E-5
2468.75 ; 1.479386E-5
2750.0 ; 1.43049E-5
3500.0 ; 1.328375E-5
4000.0 ; 1.274485E-5
4250.0 ; 1.251717E-5
5000.0 ; 1.190083E-5
6250.0 ; 1.150029E-5
7500.0 ; 1.118597E-5
8750.0 ; 1.092098E-5
10000.0 ; 1.06905E-5
12500.0 ; 1.07075E-5
15000.0 ; 1.0725E-5
17500.0 ; 1.07425E-5
20000.0 ; 1.076033E-5
23750.0 ; 1.111916E-5
23784.14 ; 1.112239E-5
27085.11 ; 1.14022E-5
27500.0 ; 1.143305E-5
28437.5 ; 1.150267E-5
29375.0 ; 1.15723E-5
31250.0 ; 1.171154E-5
35000.0 ; 1.196745E-5
38750.0 ; 1.220532E-5
40000.0 ; 1.228456E-5
42500.0 ; 1.241846E-5
50000.0 ; 1.282014E-5
62500.0 ; 1.376745E-5
67712.78 ; 1.413273E-5
68750.0 ; 1.420007E-5
74645.39 ; 1.458259E-5
75000.0 ; 1.460381E-5
76424.7 ; 1.468889E-5
77849.39 ; 1.477397E-5
80698.78 ; 1.494412E-5
86397.56 ; 1.528439E-5
87500.0 ; 1.534405E-5
100000.0 ; 1.601999E-5
125000.0 ; 1.7335E-5
150000.0 ; 1.864992E-5
175000.0 ; 1.976E-5
200000.0 ; 2.086994E-5
225000.0 ; 2.1845E-5
250000.0 ; 2.281992E-5
275000.0 ; 2.364982E-5
300000.0 ; 2.44796E-5
325000.0 ; 2.524734E-5
350000.0 ; 2.601499E-5
400000.0 ; 2.742647E-5
450000.0 ; 2.86203E-5
500000.0 ; 2.971253E-5
550000.0 ; 3.065738E-5
600000.0 ; 3.160213E-5
650000.0 ; 3.242378E-5
700000.0 ; 3.324534E-5
750000.0 ; 3.39884E-5
800000.0 ; 3.47314E-5
850000.0 ; 3.542556E-5
900000.0 ; 3.61197E-5
950000.0 ; 3.681267E-5
1000000.0 ; 3.75056E-5
1100000.0 ; 3.873371E-5
1200000.0 ; 3.996172E-5
1300000.0 ; 4.101289E-5
1400000.0 ; 4.206397E-5
1500000.0 ; 4.29992E-5
1600000.0 ; 4.393435E-5
1700000.0 ; 4.477736E-5
1800000.0 ; 4.56203E-5
1900000.0 ; 4.638282E-5
2000000.0 ; 4.714526E-5
2010000.0 ; 4.720934E-5
2020000.0 ; 4.727338E-5
2030000.0 ; 4.733742E-5
2040000.0 ; 4.740146E-5
2050000.0 ; 4.74655E-5
2055000.0 ; 4.749752E-5
2060000.0 ; 4.752954E-5
2064000.0 ; 4.755516E-5
2066000.0 ; 4.756797E-5
2068000.0 ; 4.758078E-5
2070000.0 ; 4.759359E-5
2071000.0 ; 4.759999E-5
2072000.0 ; 4.760639E-5
2073000.0 ; 4.76128E-5
2074000.0 ; 4.76192E-5
2075000.0 ; 4.762561E-5
2076000.0 ; 4.763201E-5
2076200.0 ; 4.763329E-5
2076400.0 ; 4.763457E-5
2076600.0 ; 4.763585E-5
2076800.0 ; 4.763713E-5
2077000.0 ; 4.763841E-5
2077200.0 ; 4.763969E-5
2077400.0 ; 4.764098E-5
2077600.0 ; 4.764226E-5
2077800.0 ; 4.764354E-5
2078000.0 ; 4.764482E-5
2079000.0 ; 4.765122E-5
2080000.0 ; 4.765763E-5
2082000.0 ; 4.767043E-5
2084000.0 ; 4.768324E-5
2086000.0 ; 4.769605E-5
2088000.0 ; 4.770886E-5
2090000.0 ; 4.772167E-5
2095000.0 ; 4.775369E-5
2100000.0 ; 4.778571E-5
2110000.0 ; 4.784975E-5
2120000.0 ; 4.791379E-5
2130000.0 ; 4.797783E-5
2140000.0 ; 4.804187E-5
2150000.0 ; 4.810591E-5
2160000.0 ; 4.816995E-5
2180000.0 ; 4.829803E-5
2200000.0 ; 4.842612E-5
2220000.0 ; 4.85542E-5
2240000.0 ; 4.868228E-5
2260000.0 ; 4.881036E-5
2280000.0 ; 4.893844E-5
2300000.0 ; 4.906652E-5
2320000.0 ; 4.919461E-5
2340000.0 ; 4.932269E-5
2360000.0 ; 4.945077E-5
2380000.0 ; 4.957885E-5
2400000.0 ; 4.970693E-5
2420000.0 ; 4.983501E-5
2440000.0 ; 4.99631E-5
2460000.0 ; 5.009118E-5
2480000.0 ; 5.021926E-5
2500000.0 ; 5.034734E-5
2520000.0 ; 5.046331E-5
2540000.0 ; 5.057928E-5
2560000.0 ; 5.069525E-5
2580000.0 ; 5.081122E-5
2600000.0 ; 5.092719E-5
2620000.0 ; 5.104316E-5
2640000.0 ; 5.115913E-5
2660000.0 ; 5.12751E-5
2680000.0 ; 5.139107E-5
2700000.0 ; 5.150704E-5
2720000.0 ; 5.162301E-5
2740000.0 ; 5.173898E-5
2760000.0 ; 5.185496E-5
2780000.0 ; 5.197093E-5
2800000.0 ; 5.20869E-5
2802000.0 ; 5.209849E-5
2804000.0 ; 5.211009E-5
2806000.0 ; 5.212169E-5
2808000.0 ; 5.213328E-5
2810000.0 ; 5.214488E-5
2812000.0 ; 5.215648E-5
2813000.0 ; 5.216228E-5
2814000.0 ; 5.216808E-5
2814500.0 ; 5.217097E-5
2815000.0 ; 5.217387E-5
2815500.0 ; 5.217677E-5
2816000.0 ; 5.217967E-5
2816500.0 ; 5.218257E-5
2817000.0 ; 5.218547E-5
2817500.0 ; 5.218837E-5
2818000.0 ; 5.219127E-5
2819000.0 ; 5.219707E-5
2820000.0 ; 5.220287E-5
2822000.0 ; 5.221446E-5
2824000.0 ; 5.222606E-5
2826000.0 ; 5.223766E-5
2828000.0 ; 5.224925E-5
2830000.0 ; 5.226085E-5
2835000.0 ; 5.228984E-5
2840000.0 ; 5.231884E-5
2845000.0 ; 5.234783E-5
2850000.0 ; 5.237682E-5
2855000.0 ; 5.240581E-5
2860000.0 ; 5.243481E-5
2865000.0 ; 5.24638E-5
2870000.0 ; 5.249279E-5
2875000.0 ; 5.252179E-5
2880000.0 ; 5.255078E-5
2885000.0 ; 5.257977E-5
2890000.0 ; 5.260876E-5
2895000.0 ; 5.263776E-5
2900000.0 ; 5.266675E-5
2905000.0 ; 5.269574E-5
2910000.0 ; 5.272473E-5
2915000.0 ; 5.275373E-5
2920000.0 ; 5.278272E-5
2925000.0 ; 5.281171E-5
2930000.0 ; 5.28407E-5
2935000.0 ; 5.28697E-5
2940000.0 ; 5.289869E-5
2941000.0 ; 5.290449E-5
2943000.0 ; 5.291608E-5
2945000.0 ; 5.292768E-5
2947000.0 ; 5.293928E-5
2950000.0 ; 5.295667E-5
2955000.0 ; 5.298567E-5
2960000.0 ; 5.301466E-5
2965000.0 ; 5.304365E-5
2970000.0 ; 5.307264E-5
2975000.0 ; 5.310164E-5
2980000.0 ; 5.313063E-5
2985000.0 ; 5.315962E-5
2990000.0 ; 5.318861E-5
2995000.0 ; 5.321761E-5
3000000.0 ; 5.32466E-5
3005000.0 ; 5.327498E-5
3010000.0 ; 5.330336E-5
3015000.0 ; 5.333174E-5
3020000.0 ; 5.336012E-5
3025000.0 ; 5.33885E-5
3030000.0 ; 5.341688E-5
3035000.0 ; 5.344526E-5
3040000.0 ; 5.347364E-5
3045000.0 ; 5.350203E-5
3050000.0 ; 5.353041E-5
3060000.0 ; 5.358717E-5
3070000.0 ; 5.364393E-5
3080000.0 ; 5.370069E-5
3090000.0 ; 5.375745E-5
3100000.0 ; 5.381421E-5
3110000.0 ; 5.387097E-5
3120000.0 ; 5.392773E-5
3130000.0 ; 5.39845E-5
3140000.0 ; 5.404126E-5
3150000.0 ; 5.409802E-5
3160000.0 ; 5.415478E-5
3170000.0 ; 5.421154E-5
3180000.0 ; 5.42683E-5
