Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
6110000.0 ; 7.102043E-5
6120000.0 ; 7.113059E-5
6130000.0 ; 7.124075E-5
6140000.0 ; 7.135091E-5
6150000.0 ; 7.146108E-5
6160000.0 ; 7.157124E-5
6170000.0 ; 7.16814E-5
6180000.0 ; 7.179156E-5
6181416.0 ; 7.180716E-5
6190000.0 ; 7.190172E-5
6200000.0 ; 7.201188E-5
6210000.0 ; 7.212204E-5
6220000.0 ; 7.22322E-5
6230000.0 ; 7.234236E-5
6240000.0 ; 7.245252E-5
6245000.0 ; 7.25076E-5
6250000.0 ; 7.256269E-5
6252000.0 ; 7.258472E-5
6254000.0 ; 7.260675E-5
6256000.0 ; 7.262878E-5
6258000.0 ; 7.265081E-5
6260000.0 ; 7.267285E-5
6262000.0 ; 7.269488E-5
6264000.0 ; 7.271691E-5
6266000.0 ; 7.273894E-5
6268000.0 ; 7.276097E-5
6270000.0 ; 7.278301E-5
6272000.0 ; 7.280504E-5
6274000.0 ; 7.282707E-5
6276000.0 ; 7.28491E-5
6278000.0 ; 7.287114E-5
6280000.0 ; 7.289317E-5
6282000.0 ; 7.29152E-5
6284000.0 ; 7.293723E-5
6285000.0 ; 7.294825E-5
6286000.0 ; 7.295926E-5
6288000.0 ; 7.29813E-5
6290000.0 ; 7.300333E-5
6291000.0 ; 7.301435E-5
6292000.0 ; 7.302536E-5
6293000.0 ; 7.303638E-5
6294000.0 ; 7.304739E-5
6295000.0 ; 7.305841E-5
6296000.0 ; 7.306943E-5
6297000.0 ; 7.308044E-5
6298000.0 ; 7.309146E-5
6299000.0 ; 7.310247E-5
6300000.0 ; 7.311349E-5
6301000.0 ; 7.312451E-5
6302000.0 ; 7.313552E-5
6303000.0 ; 7.314654E-5
6304000.0 ; 7.315755E-5
6305000.0 ; 7.316857E-5
6306000.0 ; 7.317959E-5
6308000.0 ; 7.320162E-5
6310000.0 ; 7.322365E-5
