Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1135.086 ; 9.090972
1136.116 ; 9.090447
1137.146 ; 9.090222
1138.176 ; 9.090408
1138.691 ; 9.090701
1139.206 ; 9.091161
1139.721 ; 9.091819
1140.236 ; 9.092715
1140.751 ; 9.093902
1141.266 ; 9.095446
1141.818 ; 9.097596
1142.37 ; 9.100397
1142.922 ; 9.10405
1143.474 ; 9.10884
1144.026 ; 9.115195
1144.302 ; 9.119152
1144.578 ; 9.123771
1144.854 ; 9.129196
1145.13 ; 9.135618
1145.406 ; 9.143288
1145.681 ; 9.152518
1145.994 ; 9.165589
1146.151 ; 9.173491
1146.307 ; 9.182484
1146.464 ; 9.192945
1146.62 ; 9.205087
1146.776 ; 9.21943
1146.932 ; 9.236591
1147.089 ; 9.257541
1147.245 ; 9.283126
1147.401 ; 9.314932
1147.557 ; 9.354874
1147.714 ; 9.405781
1147.792 ; 9.436015
1147.87 ; 9.47012
1147.948 ; 9.508593
1148.026 ; 9.551976
1148.104 ; 9.600855
1148.182 ; 9.655857
1148.265 ; 9.721854
1148.348 ; 9.796373
1148.431 ; 9.880279
1148.513 ; 9.973249
1148.596 ; 10.07841
1148.679 ; 10.19554
1148.762 ; 10.32542
1148.844 ; 10.46695
1149.01 ; 10.79587
1149.175 ; 11.18104
1149.341 ; 11.62643
1149.506 ; 12.12154
1149.893 ; 13.4191
1150.279 ; 14.6916
1150.481 ; 15.23677
1150.683 ; 15.63638
1150.842 ; 15.82388
1151.0 ; 15.88683
1151.132 ; 15.84217
1151.263 ; 15.71211
1151.394 ; 15.50195
1151.525 ; 15.22012
1151.81 ; 14.41445
1152.095 ; 13.45811
1152.367 ; 12.52999
1152.639 ; 11.68233
1152.775 ; 11.30784
1152.911 ; 10.97158
1153.047 ; 10.67482
1153.183 ; 10.41702
1153.313 ; 10.20528
1153.442 ; 10.02615
1153.572 ; 9.873846
1153.701 ; 9.747471
1153.831 ; 9.641755
1153.96 ; 9.555171
1154.09 ; 9.483422
1154.219 ; 9.424989
1154.349 ; 9.376647
1154.478 ; 9.337183
1154.608 ; 9.304327
1154.737 ; 9.277234
1154.867 ; 9.254376
1154.996 ; 9.235227
1155.126 ; 9.218784
1155.255 ; 9.20475
1155.463 ; 9.185853
1155.67 ; 9.170518
1155.877 ; 9.157754
1156.188 ; 9.142116
1156.499 ; 9.12957
1156.81 ; 9.119265
1157.12 ; 9.110667
1157.431 ; 9.103339
1157.742 ; 9.097037
1158.053 ; 9.091557
1158.363 ; 9.086761
1158.674 ; 9.0825
1158.985 ; 9.078699
1159.606 ; 9.072205
1160.228 ; 9.066822
1160.849 ; 9.062279
1161.471 ; 9.058357
1162.092 ; 9.054922
1162.766 ; 9.051614
1163.439 ; 9.048657
1164.113 ; 9.04597
1164.786 ; 9.043511
1165.46 ; 9.04123
1166.133 ; 9.039103
1167.48 ; 9.035197
1168.827 ; 9.031649
