Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1128.612 ; 0.05230077
1129.716 ; 0.05674259
1130.819 ; 0.06193963
1131.923 ; 0.06808538
1133.026 ; 0.0754118
1134.056 ; 0.08360977
1135.086 ; 0.09346999
1136.116 ; 0.1054407
1137.146 ; 0.1202081
1138.176 ; 0.1388245
1138.691 ; 0.1500084
1139.206 ; 0.1627454
1139.721 ; 0.1773347
1140.236 ; 0.1941549
1140.751 ; 0.213689
1141.266 ; 0.2365578
1141.818 ; 0.2656939
1142.37 ; 0.30092
1142.922 ; 0.3440875
1143.474 ; 0.3978705
1144.026 ; 0.4662508
1144.302 ; 0.5077055
1144.578 ; 0.5553337
1144.854 ; 0.610483
1145.13 ; 0.6749129
1145.406 ; 0.7509762
1145.681 ; 0.8415501
1145.994 ; 0.9685243
1146.151 ; 1.044741
1146.307 ; 1.131091
1146.464 ; 1.231123
1146.62 ; 1.346772
1146.776 ; 1.482896
1146.932 ; 1.645213
1147.089 ; 1.842785
1147.245 ; 2.083417
1147.401 ; 2.381858
1147.557 ; 2.755907
1147.714 ; 3.231837
1147.792 ; 3.514199
1147.87 ; 3.832517
1147.948 ; 4.191405
1148.026 ; 4.595896
1148.104 ; 5.051428
1148.182 ; 5.56382
1148.265 ; 6.178416
1148.348 ; 6.872142
1148.431 ; 7.65302
1148.513 ; 8.518028
1148.596 ; 9.496257
1148.679 ; 10.58556
1148.762 ; 11.79324
1148.844 ; 13.10903
1149.01 ; 16.16626
1149.175 ; 19.74554
1149.341 ; 23.88352
1149.506 ; 28.48258
1149.893 ; 40.53279
1150.279 ; 52.34648
1150.481 ; 57.40637
1150.683 ; 61.11398
1150.842 ; 62.85263
1151.0 ; 63.43484
1151.132 ; 63.01845
1151.263 ; 61.8093
1151.394 ; 59.85682
1151.525 ; 57.23925
1151.81 ; 49.75864
1152.095 ; 40.8814
1152.367 ; 32.26808
1152.639 ; 24.40327
1152.775 ; 20.92937
1152.911 ; 17.81062
1153.047 ; 15.05868
1153.183 ; 12.66862
1153.313 ; 10.70596
1153.442 ; 9.046107
1153.572 ; 7.635277
1153.701 ; 6.465111
1153.831 ; 5.486726
1153.96 ; 4.685872
1154.09 ; 4.02271
1154.219 ; 3.483078
1154.349 ; 3.037103
1154.478 ; 2.673463
1154.608 ; 2.371137
1154.737 ; 2.122244
1154.867 ; 1.912647
1154.996 ; 1.737418
1155.126 ; 1.587294
1155.255 ; 1.459479
1155.463 ; 1.287977
1155.67 ; 1.149455
1155.877 ; 1.034746
1156.188 ; 0.8951845
1156.499 ; 0.7842357
1156.81 ; 0.6940185
1157.12 ; 0.6195864
1157.431 ; 0.5569121
1157.742 ; 0.5037145
1158.053 ; 0.4581198
1158.363 ; 0.4188299
1158.674 ; 0.3845023
1158.985 ; 0.3544163
1159.606 ; 0.304452
1160.228 ; 0.2647648
1160.849 ; 0.2327991
1161.471 ; 0.2065705
1162.092 ; 0.1848089
1162.766 ; 0.1650639
1163.439 ; 0.1485186
1164.113 ; 0.1344853
1164.786 ; 0.1225202
1165.46 ; 0.1122077
1166.133 ; 0.1032812
1167.48 ; 0.08864285
1168.827 ; 0.07726932
1170.174 ; 0.06828094
1171.521 ; 0.06097486
1172.867 ; 0.05495664
1174.421 ; 0.04926417
1175.975 ; 0.04460806
1177.529 ; 0.04075022
1179.083 ; 0.03751742
1180.637 ; 0.03478097
1182.191 ; 0.03244412
1185.299 ; 0.02873439
1188.407 ; 0.02586477
1191.515 ; 0.02362076
1194.623 ; 0.02183797
1197.73 ; 0.02039745
1201.046 ; 0.01914351
1204.361 ; 0.01811341
1210.991 ; 0.01653929
1220.523 ; 0.01501034
1230.054 ; 0.01395853
1239.585 ; 0.01322286
1249.116 ; 0.01269643
1268.178 ; 0.01193058
1287.24 ; 0.01144099
1325.364 ; 0.01082277
1363.488 ; 0.0104179
1443.052 ; 0.009885798
1522.616 ; 0.009512604
1681.744 ; 0.008925457
2000.0 ; 0.0081239
2152.968 ; 0.007799787
2305.935 ; 0.007553821
2316.862 ; 0.007570643
2330.179 ; 0.007707706
2333.508 ; 0.007804763
2336.837 ; 0.007998291
2338.502 ; 0.008174365
2340.166 ; 0.008458852
2341.831 ; 0.008964179
2342.663 ; 0.009387912
2343.495 ; 0.01005367
2343.944 ; 0.01060252
2344.392 ; 0.01139815
2344.616 ; 0.01194241
2344.84 ; 0.01262904
2345.064 ; 0.01350613
2345.288 ; 0.0146368
2345.512 ; 0.01610218
2345.736 ; 0.0180037
2345.96 ; 0.02046418
2346.184 ; 0.02362686
2346.408 ; 0.02765139
2346.632 ; 0.03270579
2346.856 ; 0.03895388
2347.08 ; 0.04653799
2347.262 ; 0.05375441
2347.443 ; 0.06189399
2347.625 ; 0.0710311
2347.806 ; 0.08100504
2348.169 ; 0.1031741
2348.532 ; 0.1268593
2348.916 ; 0.1509842
2349.299 ; 0.1708886
2349.56 ; 0.1804595
2349.82 ; 0.1858818
2350.0 ; 0.1869869
2350.26 ; 0.1846584
2350.519 ; 0.1779231
2350.837 ; 0.1644389
2351.154 ; 0.14673
2351.709 ; 0.1110165
2351.987 ; 0.09331898
2352.264 ; 0.07703498
2352.423 ; 0.06852751
2352.582 ; 0.0607183
2352.741 ; 0.05364114
2352.899 ; 0.04734158
2353.058 ; 0.04172618
2353.216 ; 0.03683485
2353.375 ; 0.03256167
2353.533 ; 0.02890804
2353.692 ; 0.02576974
2353.851 ; 0.02311145
2354.01 ; 0.02087354
2354.168 ; 0.01900975
2354.327 ; 0.01744373
2354.485 ; 0.01614769
2354.644 ; 0.01506264
2354.802 ; 0.01416536
2355.06 ; 0.01300779
2355.318 ; 0.01213845
2355.576 ; 0.01147575
2355.833 ; 0.0109627
2356.349 ; 0.01022261
2356.864 ; 0.009719136
2357.895 ; 0.009072357
2358.926 ; 0.008674753
2360.988 ; 0.008219097
2363.049 ; 0.00797367
2367.49 ; 0.007711456
2371.931 ; 0.007591926
2380.813 ; 0.007478829
2400.163 ; 0.007393302
2419.513 ; 0.007342254
2458.212 ; 0.007265673
2535.61 ; 0.007141126
2690.407 ; 0.006921903
3000.0 ; 0.006545929
3250.0 ; 0.006270229
3500.0 ; 0.006026024
3750.0 ; 0.005806864
4000.0 ; 0.005607892
4250.0 ; 0.005425392
4500.0 ; 0.005256496
5000.0 ; 0.004950827
5500.0 ; 0.004677615
6000.0 ; 0.004428302
6500.0 ; 0.004266574
7000.0 ; 0.004118692
7500.0 ; 0.003981567
8000.0 ; 0.003853049
8500.0 ; 0.003731546
9000.0 ; 0.003615871
10000.0 ; 0.00339873
12296.65 ; 0.003193978
12392.34 ; 0.003204252
12414.48 ; 0.00323668
12425.55 ; 0.003300352
12431.08 ; 0.003388635
12433.85 ; 0.003481739
12435.23 ; 0.003561894
12436.61 ; 0.003703166
12437.55 ; 0.003882389
12438.02 ; 0.004020974
12438.48 ; 0.004206304
12438.95 ; 0.004466812
12439.42 ; 0.004826771
12439.89 ; 0.005322345
12440.35 ; 0.005982777
12440.59 ; 0.006413605
12440.82 ; 0.006892167
12441.06 ; 0.007469034
12441.29 ; 0.008105189
12441.53 ; 0.00886609
12441.76 ; 0.009698349
12441.99 ; 0.01064159
12442.22 ; 0.01170594
12442.46 ; 0.01295662
12442.69 ; 0.01429967
12442.92 ; 0.01579373
12443.15 ; 0.01744753
12443.62 ; 0.02135502
12444.08 ; 0.02590165
12444.44 ; 0.02996915
12444.79 ; 0.03434358
12445.5 ; 0.04436935
12446.92 ; 0.0671655
12447.67 ; 0.07882194
12448.41 ; 0.08846718
12448.81 ; 0.09248883
12449.2 ; 0.09540901
12449.61 ; 0.09729325
12450.0 ; 0.09788673
12450.41 ; 0.09722503
12450.85 ; 0.09508237
12451.24 ; 0.09202398
12451.63 ; 0.08799357
12452.4 ; 0.07777038
12453.16 ; 0.06584077
12453.89 ; 0.05391101
12454.62 ; 0.04256318
12454.99 ; 0.03728272
12455.35 ; 0.03253605
12455.71 ; 0.0282135
12456.07 ; 0.02433448
12456.52 ; 0.02011268
12456.96 ; 0.01663591
12457.41 ; 0.01369879
12457.63 ; 0.01247165
12457.85 ; 0.0113704
12458.08 ; 0.01034422
12458.3 ; 0.009473126
12458.52 ; 0.008701096
12458.74 ; 0.008019462
12458.97 ; 0.007394394
12459.19 ; 0.006871908
12459.63 ; 0.006017859
12460.08 ; 0.005360802
12460.52 ; 0.004882375
12460.97 ; 0.004520475
12461.41 ; 0.004259837
12461.86 ; 0.004063405
12462.3 ; 0.00392126
12463.19 ; 0.003732052
12464.41 ; 0.003588708
12465.62 ; 0.003506211
12468.05 ; 0.003409458
12472.9 ; 0.003314585
12482.6 ; 0.003242403
12502.0 ; 0.003200851
12512.35 ; 0.00319227
12552.79 ; 0.003179588
12593.22 ; 0.003173063
12674.08 ; 0.003164534
12835.81 ; 0.003151654
13159.27 ; 0.003128834
13806.18 ; 0.003087087
15100.0 ; 0.003018424
17087.31 ; 0.002961935
17392.65 ; 0.002961928
17545.32 ; 0.002967821
17621.66 ; 0.002977006
17659.83 ; 0.002996425
17697.99 ; 0.003066119
17706.73 ; 0.003114338
17715.46 ; 0.003206486
17719.83 ; 0.003286955
17724.2 ; 0.003417001
17726.39 ; 0.003515297
