Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1135.086 ; 9.184442
1136.116 ; 9.195888
1137.146 ; 9.21043
1138.176 ; 9.229232
1138.691 ; 9.24071
1139.206 ; 9.253906
1139.721 ; 9.269153
1140.236 ; 9.28687
1140.751 ; 9.307591
1141.266 ; 9.332004
1141.818 ; 9.363289
1142.37 ; 9.401317
1142.922 ; 9.448138
1143.474 ; 9.506711
1144.026 ; 9.581446
1144.302 ; 9.626857
1144.578 ; 9.679105
1144.854 ; 9.739679
1145.13 ; 9.810531
1145.406 ; 9.894265
1145.681 ; 9.994069
1145.994 ; 10.13411
1146.151 ; 10.21823
1146.307 ; 10.31357
1146.464 ; 10.42407
1146.62 ; 10.55186
1146.776 ; 10.70233
1146.932 ; 10.8818
1147.089 ; 11.10033
1147.245 ; 11.36654
1147.401 ; 11.69679
1147.557 ; 12.11078
1147.714 ; 12.63762
1147.792 ; 12.95021
1147.87 ; 13.30264
1147.948 ; 13.7
1148.026 ; 14.14787
1148.104 ; 14.65228
1148.182 ; 15.21968
1148.265 ; 15.90027
1148.348 ; 16.66852
1148.431 ; 17.5333
1148.513 ; 18.49128
1148.596 ; 19.57467
1148.679 ; 20.7811
1148.762 ; 22.11866
1148.844 ; 23.57598
1149.01 ; 26.96213
1149.175 ; 30.92659
1149.341 ; 35.50996
1149.506 ; 40.60411
1149.893 ; 53.95189
1150.279 ; 67.03808
1150.481 ; 72.64315
1150.683 ; 76.75035
1150.842 ; 78.67651
1151.0 ; 79.32167
1151.132 ; 78.86062
1151.263 ; 77.5214
1151.394 ; 75.35877
1151.525 ; 72.45937
1151.81 ; 64.17309
1152.095 ; 54.3395
1152.367 ; 44.79807
1152.639 ; 36.0856
1152.775 ; 32.23721
1152.911 ; 28.7822
1153.047 ; 25.7335
1153.183 ; 23.08564
1153.313 ; 20.91124
1153.442 ; 19.07226
1153.572 ; 17.50912
1153.701 ; 16.21258
1153.831 ; 15.12848
1153.96 ; 14.24104
1154.09 ; 13.50613
1154.219 ; 12.90807
1154.349 ; 12.41375
1154.478 ; 12.01065
1154.608 ; 11.67546
1154.737 ; 11.39948
1154.867 ; 11.16702
1154.996 ; 10.97264
1155.126 ; 10.80608
1155.255 ; 10.66423
1155.463 ; 10.47383
1155.67 ; 10.31997
1155.877 ; 10.1925
1156.188 ; 10.0373
1156.499 ; 9.913806
1156.81 ; 9.813283
1157.12 ; 9.730254
1157.431 ; 9.660251
1157.742 ; 9.600751
1158.053 ; 9.549676
1158.363 ; 9.505591
1158.674 ; 9.467003
1158.985 ; 9.433116
1159.606 ; 9.376657
1160.228 ; 9.331587
1160.849 ; 9.295078
1161.471 ; 9.264928
1162.092 ; 9.239731
1162.766 ; 9.216678
1163.439 ; 9.197175
1164.113 ; 9.180456
1164.786 ; 9.166031
1165.46 ; 9.153438
1166.133 ; 9.142384
1167.48 ; 9.12384
1168.827 ; 9.108918
1170.174 ; 9.096644
1171.521 ; 9.086238
1172.867 ; 9.077263
1174.421 ; 9.068297
1175.975 ; 9.060483
1177.529 ; 9.053558
1179.083 ; 9.047329
1180.637 ; 9.041653
1182.191 ; 9.036422
1185.299 ; 9.02704
1188.407 ; 9.018599
1191.515 ; 9.010863
1194.623 ; 9.003648
1197.73 ; 8.996824
1201.046 ; 8.989867
1204.361 ; 8.983171
1210.991 ; 8.970351
1220.523 ; 8.952813
1230.054 ; 8.935888
1239.585 ; 8.919404
1249.116 ; 8.90325
1268.178 ; 8.871478
1287.24 ; 8.840372
1325.364 ; 8.779524
1363.488 ; 8.720064
1443.052 ; 8.600556
1522.616 ; 8.486629
1681.744 ; 8.269957
2000.0 ; 7.88552
2152.968 ; 7.720262
2305.935 ; 7.564029
2316.862 ; 7.553322
2330.179 ; 7.54046
2333.508 ; 7.537318
2336.837 ; 7.534277
2338.502 ; 7.532837
